attempt,circle_angle_degrees
1,-139.91379876237474
3,-136.1586330880851
8,-134.87066437427717
11,-130.58249064846495
13,-135.0
15,-133.82016217916996
16,-134.87007782015758
17,-137.90191046888364
20,-132.2233964760977
22,-120.10109816138544
23,-108.20718546727869
24,-125.54046301177807
25,-122.9459497757343
26,-123.75638039897005
27,-98.57652956344344
28,-125.49505984664515
29,-126.50883783602546
30,-129.09376422385927
31,-127.69805770674756
32,-128.6579969987627
34,-129.7660790823484
35,-132.63534929199238
36,-124.789395007679
37,-133.3007557660064
38,-133.2480296034241
39,-131.45091630909715
42,-131.62333780957871
43,-130.45363226665816
44,-131.0345498604042
45,-131.73540482627325
46,-132.9108740172811
47,-135.12705981677868
49,-122.86282738713122
51,-131.7808534692659
52,-130.6366021828173
53,-133.8309683123904
54,-132.00409070275967
56,-127.2971578767872
57,-129.25644198965716
58,-128.54604398343656
59,-126.38139620293435
60,-129.573975236911
61,-126.00110964562248
62,-132.54437083141747
63,-131.932663416435
64,-128.78588431300594
65,-129.46553511066276
66,-127.75097634278765
67,-126.30578361782878
68,-128.46789889234367
69,-130.55996517182382
70,-133.5812916151099
71,-129.20588504449637
72,-128.16693539006621
73,-123.35106047947842
74,-132.58808136574584
75,-132.1524057875217
76,-128.47739989209293
77,-127.016357213095
78,-128.69421638217125
79,-127.74303734055037
80,-131.61844890580568
81,-157.44275336529435
82,-170.51342047779582
83,-143.9593729071723
84,-139.10387547263693
86,-146.76828893202065
87,-139.7743451801427
88,-134.47914362549804
89,-129.6401134430442
91,-136.14322301905742
92,-136.46255321909786
94,-137.26927480642
101,-109.75298597585683
102,-89.13200986056736
103,-116.15994386503276
104,-134.07941820731918
105,-120.60166153074837
106,-124.85213345414884
107,-128.82742138057046
108,-117.45673758425214
109,-125.50142580856625
111,-132.56806739765304
112,-141.5034051207631
113,-147.1071951059553
114,-126.47882946744338
115,-126.77689268018315
117,-131.45422775723222
118,-127.31718651706606
119,-130.46334506187162
120,-131.71729823995335
121,-132.268363474141
122,-120.74461508066197
123,-128.00259659335785
125,-128.84424515812722
126,-132.00409070275967
127,-129.33124191693508
128,-129.0373201634358
129,-131.991827488982
131,-130.37156175309596
132,-129.46553511066276
133,-125.49734054800183
135,-132.3571082692404
136,-132.95961679471202
137,-131.50580013355292
138,-130.18284748038104
139,-125.66612343095329
140,-129.54763866925128
141,-132.78618499702023
142,-132.84757825978818
143,-130.79969506790468
144,-130.60927305940433
145,-131.7937756288032
146,-132.5578450283005
147,-131.90274341328657
148,-127.08044516753338
149,-128.16356864789185
150,-131.21850834938743
152,-129.7935814370439
153,-131.62454833067997
154,-128.5090402241925
155,-131.95786623354755
157,-136.82358124715643
159,-127.59016262850675
160,-132.63476507636207
