attempt,target_angle_degrees
1,-135.0
4,-135.0
5,-135.0
6,-135.0
7,-135.0
8,-135.0
9,-135.0
10,-135.0
11,-135.0
13,-135.0
14,-135.0
16,-135.0
17,-135.0
18,-135.0
19,-135.0
20,-135.0
21,-135.0
22,-135.0
25,-135.0
27,-135.0
28,-135.0
34,-135.0
39,-135.0
41,-135.0
43,-135.0
45,-135.0
47,-135.0
48,-135.0
53,-135.0
54,-135.0
57,-135.0
66,-135.0
81,-135.0
82,-135.0
83,-135.0
84,-135.0
85,-135.0
86,-135.0
87,-135.0
88,-135.0
90,-135.0
91,-135.0
92,-135.0
93,-135.0
94,-135.0
95,-135.0
97,-135.0
100,-135.0
101,-135.0
102,-135.0
103,-135.0
104,-135.0
105,-135.0
106,-135.0
107,-135.0
108,-135.0
110,-135.0
115,-135.0
119,-135.0
120,-135.0
121,-135.0
122,-135.0
125,-135.0
127,-135.0
129,-135.0
134,-135.0
139,-135.0
141,-135.0
142,-135.0
149,-135.0
151,-135.0
153,-135.0
