attempt,target_angle_degrees
2,130.0
3,130.0
4,130.0
5,130.0
6,130.0
9,130.0
10,130.0
11,130.0
13,130.0
15,130.0
17,130.0
23,130.0
24,130.0
25,130.0
26,130.0
27,130.0
29,130.0
31,130.0
33,130.0
34,130.0
38,130.0
39,130.0
41,130.0
42,130.0
43,130.0
44,130.0
46,130.0
48,130.0
49,130.0
50,130.0
51,130.0
52,130.0
53,130.0
54,130.0
55,130.0
56,130.0
57,130.0
58,130.0
59,130.0
61,130.0
62,130.0
63,130.0
64,130.0
65,130.0
68,130.0
69,130.0
71,130.0
72,130.0
73,130.0
74,130.0
75,130.0
76,130.0
78,130.0
79,130.0
80,130.0
82,130.0
86,130.0
87,130.0
91,130.0
94,130.0
97,130.0
98,130.0
99,130.0
104,130.0
105,130.0
106,130.0
107,130.0
108,130.0
111,130.0
112,130.0
117,130.0
121,180.0
123,180.0
125,180.0
126,180.0
127,180.0
128,180.0
130,180.0
132,180.0
133,180.0
134,180.0
135,180.0
136,180.0
137,180.0
139,180.0
140,180.0
145,180.0
146,180.0
147,180.0
148,180.0
153,180.0
156,180.0
158,180.0
159,180.0
162,180.0
166,180.0
167,180.0
169,180.0
171,180.0
172,180.0
173,180.0
174,180.0
175,180.0
178,180.0
179,180.0
180,180.0
185,130.0
186,130.0
187,130.0
188,130.0
189,130.0
190,130.0
191,130.0
192,130.0
197,130.0
198,130.0
204,130.0
205,130.0
211,130.0
213,130.0
214,130.0
215,130.0
217,130.0
219,130.0
220,130.0
221,130.0
222,130.0
223,130.0
226,130.0
228,130.0
229,130.0
230,130.0
231,130.0
233,130.0
234,130.0
235,130.0
238,130.0
239,130.0
241,130.0
242,130.0
243,130.0
244,130.0
247,130.0
251,130.0
254,130.0
255,130.0
258,130.0
261,130.0
262,130.0
264,130.0
265,130.0
266,130.0
271,130.0
272,130.0
274,130.0
275,130.0
276,130.0
277,130.0
282,130.0
283,130.0
284,130.0
286,130.0
287,130.0
292,130.0
296,130.0
297,130.0
