attempt,circle_angle_degrees
0,-39.80557109226519
1,-43.28031996093014
2,-40.33812690476117
3,-43.43229632286974
4,-22.37104369551241
5,-30.466151927435646
6,-45.83783194468726
7,-27.600159826080674
8,-24.77382210836043
9,-61.15949238466781
10,-45.259255151501385
11,-43.033535431704244
12,-37.514045415914985
13,-57.11747270419024
14,-50.9734934213208
15,-61.6277947120245
16,-39.88966692762116
17,-37.951479973487174
18,-40.30131948270056
19,-49.19090752732529
20,-45.37776889622899
21,-50.71059313749964
22,-51.764380675790505
23,-31.735995851476073
24,-33.183653155713074
25,-39.4006636821091
26,-35.586668294974885
