feedback_type,block_id,trial_in_block,perturbation_active,gradual_perturbation,perturbation_force,end_x,end_y,hit,score_delta,score_total
,1,1,False,False,0,454.2418554779822,538.9869687647722,False,0,0
,2,1,True,True,0.5,-133.17136949958757,-466.03219711523616,False,-50,-50
,3,1,False,False,0.5,334.2023096589253,296.95224456490047,False,-32,-82
trajectory,4,1,False,False,0.5,349.5237475295001,267.9522445649006,True,74,-8
trajectory,5,1,True,True,0.5,466.84429470875773,414.9550314806537,False,0,-8
trajectory,6,1,False,False,0.5,341.10928173277756,393.96777545874284,False,0,-8
endpos,7,1,False,False,0.5,337.3269469078406,-182.0273703949694,False,-50,-58
endpos,7,2,False,False,0.5,455.8765830279503,521.990191147515,False,0,-58
endpos,8,1,True,True,0.5,474.0428374620158,461.99789451805106,False,0,-58
endpos,8,2,True,True,0.5,222.3036996206452,72.9645265599997,False,0,-58
endpos,9,1,False,False,0.5,422.8115741202499,444.9932693266737,False,0,-58
endpos,9,2,False,False,0.5,188.89011135809855,177.9725295972481,True,90,32
rl,10,1,False,False,0.5,451.953625663766,503.90725132753215,False,0,32
rl,10,2,False,False,0.5,189.7800911456276,-56.041476779941235,False,-50,-18
rl,11,1,True,True,0.5,524.659805880135,520.9588352808213,False,0,-18
rl,11,2,True,True,0.5,374.7686662106146,251.97588114574185,True,73,55
rl,12,1,False,False,0.5,208.46441779096745,76.96452655999965,False,0,55
rl,12,2,False,False,0.5,440.91090522454243,434.9550314806536,False,0,55
