feedback_type,phase_name,mean_score_delta,se_score_delta
None,1_before,-5.066666666666666,7.291623809397862
None,2_perturbed,9.044444444444444,4.8285544701913565
None,3_after,31.53333333333333,10.98974269236748
trajectory,1_before,12.366666666666667,9.307762590679054
trajectory,2_perturbed,0.09999999999999994,1.2423096769056148
trajectory,3_after,-4.2,10.998787811996982
endpos,1_before,7.366666666666667,4.733685432913532
endpos,2_perturbed,10.222222222222223,5.2856666187850205
endpos,3_after,3.533333333333333,2.0496612186190943
rl,1_before,14.966666666666667,4.328330445384737
rl,2_perturbed,12.777777777777779,7.437600502485187
rl,3_after,7.766666666666666,3.9303661124350464
